Nova Classificação,País,Score_Composto
1,Dinamarca,0.9074154763272294
2,Suécia,0.9017035220228639
3,Suíça,0.89374287474836
4,Espanha,0.8911682557676309
5,Eslovénia,0.8879910763982234
6,Noruega,0.8832773169812455
7,Itália,0.8822862428226408
8,Reino Unido,0.8789529937824897
9,Alemanha,0.8782404761267936
10,Islândia,0.8710298751370269
11,Países Baixos,0.8700455312756009
12,França,0.8687406702399483
13,Bélgica,0.867566738226058
14,Portugal,0.8645932640434223
15,Irlanda,0.8641150582659388
16,Finlândia,0.8608028911022672
17,Nova Zelândia,0.8606473505879103
18,Japão,0.8597204659593253
19,Croácia,0.8596332524058717
20,Áustria,0.8568490045471439
21,Grécia,0.8457709239497557
22,Malta,0.8423410395121618
23,Coreia (República da),0.8404949487432095
24,Israel,0.8326506972818133
25,Austrália,0.8312220393944001
26,Polónia,0.83067327275797
27,Bósnia-Herzegovina,0.8292132646428848
28,Singapura,0.8288523655425705
29,Chéquia,0.827814745644064
30,Macedónia do Norte,0.8269408970014798
31,Estónia,0.8231569538109773
32,Letónia,0.8178710304643598
33,Moldávia (República da),0.8167195110980555
34,Albânia,0.8164662704234952
35,Costa Rica,0.8099102247718751
36,Lituânia,0.8090739156560932
37,Chile,0.803958768237314
38,Trindade e Tobago,0.8013697677441947
39,Canadá,0.8012656053545776
40,Eslováquia,0.7994522264613941
41,Sérvia,0.7982649268130523
42,Geórgia,0.7936178297596985
43,Arménia,0.7881656711189914
44,Uruguai,0.7877851590517243
45,Ucrânia,0.7875112002742481
46,Emirados Árabes Unidos,0.7874666283591766
47,Chipre,0.7850540942701714
48,Luxemburgo,0.7819534180429187
49,Hungria,0.7756694556955249
50,Turquia,0.7743394397093671
51,Roménia,0.7716430303806902
52,Estados Unidos,0.7665242575255856
53,Tunísia,0.766273902498119
54,Federação Russa,0.7654462186600443
55,Líbia,0.7626663739688168
56,Usbequistão,0.7614289165161724
57,Argentina,0.760897747676159
58,Cuba,0.7584741118861594
59,Bulgária,0.7538750873032956
60,Mongólia,0.7474672451410007
61,Azerbaijão,0.7446314008590713
62,Malásia,0.7401596869838034
63,Cazaquistão,0.7379181147424484
64,Sri Lanca,0.7364012150506114
65,Tailândia,0.7363486082962494
66,Peru,0.7329066003566783
67,Equador,0.7301222137731679
68,China,0.7290395999502204
69,Tajiquistão,0.7233752431770354
70,Brasil,0.7193356032254524
71,Panamá,0.7187193213540164
72,Bahamas,0.7180997707548656
73,Colômbia,0.7176341378046396
74,Turquemenistão,0.7175462316998878
75,Barém,0.7165349108738036
76,México,0.7108350699602379
77,Arábia Saudita,0.7108309010660016
78,Jamaica,0.7055774006471628
79,Vietname,0.7054763819041318
80,República Dominicana,0.7054011340210371
81,Quirguizistão,0.7047300774987284
82,Butão,0.7025453574906324
83,Egito,0.702028114201822
84,Filipinas,0.6922695155456865
85,África do Sul,0.6910777463850746
86,Paraguai,0.687487268089741
87,Argélia,0.6826659408757666
88,Jordânia,0.6820157375914736
89,El Salvador,0.6798391543782324
90,Bolívia (Estado Plurinacional da),0.6733867711778562
91,Indonésia,0.6731789769422564
92,Seicheles,0.6717353355627065
93,Nicarágua,0.66562396088881
94,Marrocos,0.6643422558796576
95,Belize,0.6597934547593929
96,Palestina (Estado da),0.6564541142282341
97,Botsuana,0.6524426943869788
98,Irão (República Islâmica do),0.6406366073403126
99,Koweit,0.6358401565117595
100,Índia,0.6352242102541864
101,Honduras,0.6337892640009867
102,Venezuela (República Bolivariana da),0.6319172491169673
103,Gabão,0.6272655277516482
104,Bangladeche,0.6248881277732247
105,Omã,0.6189452928694824
106,Montenegro,0.6132607460056465
107,Guatemala,0.6117544763791468
108,Namíbia,0.6108942480074352
109,República Democrática Popular do Laos,0.609664330046497
110,Iraque,0.6005690774176417
111,Brunei Darussalã,0.5998598633710772
112,Mianmar,0.5978443197940777
113,Ruanda,0.5963817407655367
114,Camboja,0.5906100783279881
115,Nepal,0.5874442384796169
116,Gana,0.5810418595852865
117,Quénia,0.5718786341155628
118,Angola,0.5715657283697079
119,Barbados,0.5590232832557177
120,Zâmbia,0.5567620204044362
121,Camarões,0.5550418407673412
122,Congo,0.5514924751487639
123,Zimbabué,0.5489658475202807
124,Uganda,0.5456881562109469
125,Paquistão,0.5421524288402576
126,Tanzânia (República Unida da),0.541302102228775
127,Senegal,0.5361990801854728
128,Catar,0.5291523051120531
129,Etiópia,0.5266140217987433
130,Papua-Nova Guiné,0.5243909919551611
131,Comores,0.5235759690274298
132,Togo,0.5231904625819632
133,Sudão,0.5180667852337371
134,Moçambique,0.5161452346188032
135,Mauritânia,0.5091595629066419
136,Haiti,0.5084516052346565
137,Maláui,0.5009103066023349
138,Gâmbia,0.49116246149089426
139,Madagáscar,0.49114870448315107
140,Burundi,0.48415457013021285
141,Nigéria,0.4833803623074286
142,Congo (República Democrática do),0.47513480290416243
143,Benin,0.4701271093707415
144,Guiné,0.467927104909238
145,Burquina Fasso,0.4624425504278386
146,Serra Leoa,0.4589815358487248
147,Libéria,0.4576998308395723
148,Afeganistão,0.4399891312851325
149,Mali,0.4345014941674481
150,Níger,0.4247026346190223
151,Chade,0.3994548479593403
152,Somália,0.39032198162167786
153,Iémen,0.3554384784178462
